<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
GBPCB,D,20181009,000000,87.4341000,87.4341000,87.4341000,87.4341000,0
GBPCB,D,20181010,000000,86.6761000,86.6761000,86.6761000,86.6761000,0
GBPCB,D,20181011,000000,87.1037000,87.1037000,87.1037000,87.1037000,0
GBPCB,D,20181012,000000,88.0799000,88.0799000,88.0799000,88.0799000,0
GBPCB,D,20181013,000000,87.2059000,87.2059000,87.2059000,87.2059000,0
GBPCB,D,20181016,000000,86.2716000,86.2716000,86.2716000,86.2716000,0
GBPCB,D,20181017,000000,86.4544000,86.4544000,86.4544000,86.4544000,0
GBPCB,D,20181018,000000,86.0175000,86.0175000,86.0175000,86.0175000,0
GBPCB,D,20181019,000000,86.1310000,86.1310000,86.1310000,86.1310000,0
GBPCB,D,20181020,000000,85.7951000,85.7951000,85.7951000,85.7951000,0
GBPCB,D,20181023,000000,85.2838000,85.2838000,85.2838000,85.2838000,0
GBPCB,D,20181024,000000,84.8248000,84.8248000,84.8248000,84.8248000,0
GBPCB,D,20181025,000000,84.9448000,84.9448000,84.9448000,84.9448000,0
GBPCB,D,20181026,000000,84.7881000,84.7881000,84.7881000,84.7881000,0
GBPCB,D,20181027,000000,84.0909000,84.0909000,84.0909000,84.0909000,0
GBPCB,D,20181030,000000,84.3327000,84.3327000,84.3327000,84.3327000,0
GBPCB,D,20181031,000000,84.0265000,84.0265000,84.0265000,84.0265000,0
GBPCB,D,20181101,000000,83.5958000,83.5958000,83.5958000,83.5958000,0
GBPCB,D,20181102,000000,84.7301000,84.7301000,84.7301000,84.7301000,0
GBPCB,D,20181103,000000,85.5096000,85.5096000,85.5096000,85.5096000,0
GBPCB,D,20181107,000000,86.2703000,86.2703000,86.2703000,86.2703000,0
GBPCB,D,20181108,000000,86.8711000,86.8711000,86.8711000,86.8711000,0
GBPCB,D,20181109,000000,87.0005000,87.0005000,87.0005000,87.0005000,0
GBPCB,D,20181110,000000,87.0316000,87.0316000,87.0316000,87.0316000,0
GBPCB,D,20181113,000000,86.7883000,86.7883000,86.7883000,86.7883000,0
GBPCB,D,20181114,000000,87.2614000,87.2614000,87.2614000,87.2614000,0
GBPCB,D,20181115,000000,88.2200000,88.2200000,88.2200000,88.2200000,0
GBPCB,D,20181116,000000,86.4674000,86.4674000,86.4674000,86.4674000,0
GBPCB,D,20181117,000000,84.6296000,84.6296000,84.6296000,84.6296000,0
GBPCB,D,20181120,000000,84.9128000,84.9128000,84.9128000,84.9128000,0
GBPCB,D,20181121,000000,84.4237000,84.4237000,84.4237000,84.4237000,0
GBPCB,D,20181122,000000,84.5130000,84.5130000,84.5130000,84.5130000,0
GBPCB,D,20181123,000000,83.8650000,83.8650000,83.8650000,83.8650000,0
GBPCB,D,20181124,000000,84.4470000,84.4470000,84.4470000,84.4470000,0
GBPCB,D,20181127,000000,85.3686000,85.3686000,85.3686000,85.3686000,0
GBPCB,D,20181128,000000,85.1178000,85.1178000,85.1178000,85.1178000,0
GBPCB,D,20181129,000000,85.3129000,85.3129000,85.3129000,85.3129000,0
GBPCB,D,20181130,000000,85.4250000,85.4250000,85.4250000,85.4250000,0
GBPCB,D,20181201,000000,85.0498000,85.0498000,85.0498000,85.0498000,0
